第12章末問題・問1　関東地                    
    観測所番号     紅葉の最盛期 
（10月1日からの日数）      9月平均気温       
      1                79                 27         
      2                44                 20         
      3                51                 22         
      4                28                 17         
      5                69                 26         
      6                46                 20         
      7                36                 18         
      8                48                 22         
      9                41                 19         
      10               59                 23         
