第13章末問題・問1                      
   個人番号      脳出血ダミー       年齢      拡張期血圧   
    1          1          80        70    
    2          1          64        99    
    3          1          68       101    
    4          1          63        95    
    5          1          41        80    
    6          1          77        95    
    7          1          79       100    
    8          1          73        94    
    9          1          62       120    
    10         0          28        75    
    11         0          41        70    
    12         0          30        77    
    13         0          32        79    
    14         0          40        76    
    15         0          69        71    
    16         0          29        74    
    17         0          31        76    
    18         0          42        72    
    19         0          36        69    
    20         0          47        90    
