第13章末問題・問1                               
   個体番号    がくの長さ(cm)  がくの幅(cm) 花弁の長さ(cm)  花弁の幅(cm) 
     1           5.0       3.5       1.3       0.3 
     2           4.5       2.3       1.3       0.3 
     3           4.4       3.2       1.3       0.2 
     4           5.0       3.5       1.6       0.6 
     5           5.1       3.8       1.9       0.4 
     6           5.5       2.6       4.4       1.2 
     7           6.1       3.0       4.6       1.4 
     8           5.8       2.6       4.0       1.2 
     9           5.0       2.3       3.3       1.0 
    10           5.6       2.7       4.2       1.3 
    11           6.7       3.1       5.6       2.4 
    12           6.9       3.1       5.1       2.3 
    13           5.8       2.7       5.1       1.9 
    14           6.8       3.2       5.9       2.3 
    15           6.7       3.3       5.7       2.5 
