第14章末問題・問1　千葉                                                
    農業集落       農家数
増加率     農家人口
増加率    生産年齢
人口率   基幹的農
業従事者率  経営耕地面積
増加率 
大谷口新田               -18.2       -28.1        44.4        70.6        36.8
七右衛門新田               -7.1       -12.2        56.1        88.6       -33.3
主水新田                  0.0       -10.4        56.5        86.3        -4.5
旭町                  -25.0       -37.7        48.0        75.9       -29.6
金ケ作佐野               -23.1       -26.2        47.6        62.1        51.6
六実                   13.0         3.5        52.8        77.6        27.3
紙敷向                 -23.5       -31.0        59.5        94.9        -1.3
紙敷中内                -27.8       -26.7        66.7        71.8       -23.1
高塚新田                -17.8       -22.4        64.9        71.2       -23.1
和名ケ谷                 -9.7        -5.0        57.3        82.9        19.9
大橋                   -6.1       -22.2        50.0        74.1        -5.3
栗山                   30.0        45.9        25.0        78.1        44.9
下矢切                 -25.0       -23.4        45.9        73.6       -21.8
中矢切                 -22.2       -40.0        50.0       100.0         4.2
上矢切                  -9.1       -16.3        63.0        73.1        -8.5
幸田                   -9.1       -13.3        46.0        71.4       -21.6
平賀                    0.0        -3.2        47.1        84.2        16.3
