第14章末問題・問2                                        
    生徒        国語        社会        数学        理科        英語    
    A         51        51        46        54        50    
    B         46        50        50        46        45    
    C         63        54        63        56        67    
    D         49        49        53        53        43    
    E         40        42        42        45        42    
    F         41        41        43        48        44    
    G         57        51        43        41        49    
    H         61        55        57        60        49    
    I         55        49        44        39        56    
    J         57        61        41        51        64    
    K         24        47        50        50        55    
    L         65        59        37        51        53    
    M         69        54        48        52        59    
    N         50        51        49        40        60    
    O         53        53        59        64        48    
