第8章末問題・問2　人種と                          
                 アジア人          黒人           白人      
    塩負荷なし         128          110          127     
                  132          131          119     
                  118          130          140     
                  142          106          121     
                  130          100          106     
                  122          127          118     
    塩負荷あり         133          159          120     
                  140          160          141     
                  100          148          135     
                  150          178          109     
                  104          150          98      
                  111          138          129     
