表1.2　キュウリの収量            
   ポット番号        栽培法A        栽培法B    
     1         3,063       3,157    
     2         2,275       2,707    
     3         2,089       3,270    
     4         2,855       3,181    
     5         2,836       3,633    
     6         3,219       3,404    
     7         2,817       2,219    
     8         2,136       2,730    
     9         2,540       3,408    
     10        2,263       3,203    
     11        2,140       2,938    
     12        1,757       3,286    
     13        2,499       2,920    
     14        2,093       3,332    
     15        2,073       3,478    
