図1.4　大豆価格の推移（ドル
       年               大豆価格        
     1970             2.85         
     1971             3.03         
     1972             4.37         
     1973             5.68         
     1974             6.64         
     1975             4.92         
     1976             6.81         
     1977             5.88         
     1978             6.66         
     1979             6.29         
     1980             7.60         
     1981             6.07         
     1982             5.71         
     1983             7.83         
     1984             5.84         
     1985             5.05         
     1986             4.78         
     1987             5.88         
     1988             7.42         
     1989             5.69         
     1990             5.74         
     1991             5.58         
     1992             5.56         
     1993             6.40         
     1994             5.48         
     1995             6.72         
     1996             7.35         
     1997             6.47         
     1998             4.93         
     1999             4.63         
     2000             4.54         
     2001             4.38         
     2002             5.53         
     2003             7.34         
     2004             5.74         
     2005             5.66         
     2006             6.43         
     2007             9.00         
