表14.1　16カ国の社会指標（国連・1998                                                
          国名           合計特殊出生率   避妊率    乳児死亡率  １人あたりGDP 平均教育年数 出生時平均余命   非識字率  
                   アメリカ    1.96      71     0.7   26037   15.80   76.75   2.238
                   エジプト    3.40      47     5.4     973    9.80   66.00  48.800
                   カタール    3.77      32     1.7   14013   11.10   72.70  20.450
                   キューバ    1.55      70     0.9    1983   11.30   76.10   4.250
                   スペイン    1.22      59     0.7   14111   15.50   78.00   2.850
         スワジランド（エスワティニ）    4.46      20     6.5    1389   11.15   60.00  23.200
                     チリ    2.44      30     1.3    4736   11.75   75.30   4.800
                   ドミニカ    2.80      64     3.4    1508   11.20   71.00  17.900
             トリニダード・ドバゴ    2.10      53     1.4    4083   10.70   73.85   2.100
                  ニカラグア    3.85      49     4.4     464    9.15   68.20  34.400
                  バーレーン    2.97      53     1.8    9073   12.95   73.20  15.750
               ブルキナ・ファソ    6.57       8     9.7     165    2.65   46.05  80.650
                   ボツワナ    4.45      33     5.6    3640   10.60   50.30  29.800
                  ポルトガル    1.48      66     0.8   10428   14.30   75.35  10.250
                  ルーマニア    1.40      57     2.4    1570   11.45   69.60   2.100
