表14.2　性格                                                 
  回答者    人の幸せを願える 慰めることができる   子供を愛せる  仕事に厳格である  完璧主義である   計画的である 
   A        5         6         5         3        4        2    
   B        5         5         5         4        4        4    
   C        5         6         6         5        3        2    
   D        5         6         6         6        6        5    
   E        5         5         4         6        6        5    
   F        6         6         6         6        6        6    
   G        6         6         6         2        5        5    
   H        5         5         6         2        3        4    
   I        3         5         6         5        5        5    
   J        4         3         5         6        5        6    
   K        6         6         6         3        2        5    
   L        5         6         4         4        3        4    
   M        4         4         4         2        3        4    
   N        2         2         1         3        4        2    
   O        6         6         4         5        2        4    
